epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5323,3.8574,5.8479,3.09994,0,0,0,0,3.84369,11.541,3.29183,2.5e-05,2.5e-05,2.5e-05
2,39.8766,3.44357,5.739,2.77197,0,0,0,0,3.67843,8.96122,3.06713,6.12625e-05,6.12625e-05,6.12625e-05
3,55.5166,2.94267,5.09862,2.40447,0,0,0,0,3.31764,7.3295,2.73904,9.604e-05,9.604e-05,9.604e-05
4,72.2102,2.87774,4.95745,2.35967,0,0,0,0,2.82769,5.49446,2.36077,0.000129332,0.000129332,0.000129332
5,86.8899,2.5669,4.72295,2.30883,0,0,0,0,2.65647,4.86207,2.19527,0.00016114,0.00016114,0.00016114
6,103.26,2.38932,4.65366,2.0628,0.00375,0.05,0.00377,0.00075,1.92916,4.46633,1.80213,0.000191463,0.000191463,0.000191463
7,118.983,1.93357,4.19656,1.87804,0.00279,0.05,0.00627,0.00188,1.51016,4.31329,1.62691,0.0002203,0.0002203,0.0002203
8,137.081,1.97738,3.98193,1.85161,0.02851,0.425,0.02943,0.01048,1.56663,4.05357,1.55019,0.000247653,0.000247653,0.000247653
9,151.696,1.92501,3.60023,1.75645,0.03114,0.55,0.12426,0.0486,1.67945,3.60342,1.50329,0.00027352,0.00027352,0.00027352
10,166.828,1.92987,3.43556,1.7177,0.03407,0.95,0.51235,0.28269,1.52726,3.04575,1.37328,0.000297903,0.000297903,0.000297903
11,181.86,1.76357,2.99205,1.53688,0.50554,0.51081,0.67142,0.45615,1.12153,2.39833,1.11911,0.0003208,0.0003208,0.0003208
12,200.132,1.64097,2.48014,1.396,0.51105,0.5391,0.70102,0.48291,0.9864,2.00847,1.04693,0.000342213,0.000342213,0.000342213
13,214.654,1.53562,2.42325,1.42481,0.56013,0.67351,0.65714,0.48799,1.08287,1.8024,1.06769,0.00036214,0.00036214,0.00036214
14,229.355,1.63672,2.35794,1.42894,0.62246,0.88794,0.6522,0.46337,1.31657,1.72519,1.15693,0.000380582,0.000380582,0.000380582
15,243.311,1.52345,2.2893,1.41837,0.62246,0.88794,0.6522,0.46337,1.31657,1.72519,1.15693,0.00039754,0.00039754,0.00039754
16,258.207,1.33973,2.04808,1.22054,0.66896,0.90815,0.65898,0.46429,1.3343,1.49183,1.1632,0.000413012,0.000413012,0.000413012
